,book_format,book_pages,book_review_count,book_rating_count,book_rating
0,Kindle Edition,768 pages,40197,668892,4.22
1,Paperback,180 pages,27,126,3.95
2,Paperback,470 pages,331,3626,3.79
3,Paperback,106 pages,28,371,3.85
4,Paperback,110 pages,250,4331,3.72
5,Paperback,316 pages,93,768,4.05
6,Paperback,42 pages,6,65,4.45
7,Mass Market Paperback,298 pages,198,2378,3.89
8,Hardcover,96 pages,17,193,4.33
9,Kindle Edition,512 pages,244,1083,3.07
10,Paperback,260 pages,101,1103,3.63
11,Paperback,192 pages,447,14651,3.71
13,Paperback,336 pages,10444,120106,4.15
14,Mass Market Paperback,368 pages,60,2622,3.86
15,Paperback,192 pages,111,2595,4.21
16,Paperback,788 pages,8721,196545,4.32
17,Paperback,256 pages,334,4566,3.83
18,Mass Market Paperback,310 pages,37,545,3.6
19,Paperback,320 pages,147,2626,4.11
20,Paperback,288 pages,32,531,3.97
21,Mass Market Paperback,544 pages,75,1718,4.08
22,Hardcover,368 pages,566,7852,4.16
23,Paperback,76 pages,130,5793,3.96
24,Hardcover,157 pages,407,5385,4.24
25,Paperback,335 pages,530,11576,3.94
26,Hardcover,432 pages,26,213,4.26
27,ebook,229 pages,36,836,3.95
28,Paperback,350 pages,108,900,4.1
29,Nook,216 pages,685,7520,4.1
30,Kindle Edition,166 pages,226,2533,3.55
31,Hardcover,175 pages,204,2720,4.09
32,ebook,64 pages,745,15063,3.94
33,Paperback,143 pages,96,5108,3.24
34,Mass Market Paperback,292 pages,441,11463,4.05
36,Hardcover,208 pages,505,4862,3.9
37,Mass Market Paperback,471 pages,64,7824,3.98
38,Paperback,415 pages,169,2280,3.61
39,ebook,269 pages,82,1314,4.18
40,Paperback,208 pages,484,8921,3.95
41,Paperback,368 pages,6276,70211,3.9
42,Paperback,70 pages,3,58,3.71
43,Hardcover,384 pages,335,6921,3.79
44,Hardcover,248 pages,43,534,3.64
47,Kindle Edition,296 pages,28,285,3.99
48,Kindle Edition,276 pages,22406,578198,4.25
50,Paperback,359 pages,24,153,3.7
51,Hardcover,328 pages,94,1639,4.27
52,Paperback,308 pages,2386,39107,4.34
54,Paperback,368 pages,57,424,4.41
55,Hardcover,160 pages,397,2498,3.86
56,Hardcover,322 pages,1648,19255,4.39
57,Hardcover,183 pages,257,3026,4.11
58,Paperback,208 pages,50,2402,4.51
59,Kindle Edition,270 pages,5,42,4.69
60,Paperback,358 pages,284,14814,3.76
63,Paperback,96 pages,67,427,3.37
65,Paperback,351 pages,1018,10476,4.25
66,Paperback,186 pages,630,13293,3.98
67,ebook,252 pages,708,10157,4.24
68,Paperback,320 pages,381,4212,4.2
69,Paperback,520 pages,28165,361068,4.26
71,Paperback,371 pages,561,5004,3.13
72,Paperback,320 pages,6681,60729,3.93
73,Hardcover,288 pages,3709,33658,4.09
74,Paperback,636 pages,339,5341,4.21
75,Kindle Edition,388 pages,598,8436,3.82
76,Paperback,295 pages,3654,36795,4.15
77,Hardcover,1376 pages,35,1124,4.11
78,Hardcover,544 pages,92,467,4.03
79,Hardcover,640 pages,15,179,4.2
80,Paperback,720 pages,14,193,4.28
81,ebook,209 pages,498,3989,4.35
82,Hardcover,2480 pages,11,105,4.51
83,Mass Market Paperback,389 pages,2091,19172,4.56
85,Paperback,1056 pages,40,791,4.29
86,Paperback,400 pages,151,3439,4.01
87,Hardcover,304 pages,908,22674,3.53
88,Paperback,293 pages,494,8601,3.57
90,Hardcover,32 pages,9,57,4.46
91,Paperback,419 pages,3771,36131,3.75
92,Paperback,288 pages,7,262,3.95
93,Paperback,490 pages,99,4285,3.92
94,Paperback,608 pages,3,146,4.13
95,Paperback,296 pages,16,214,4.01
96,Hardcover,274 pages,510,3135,3.93
97,Hardcover,273 pages,182,1029,4.14
98,Paperback,527 pages,158,1769,4.24
100,Mass Market Paperback,460 pages,480,12862,4.32
101,Paperback,150 pages,174,1945,3.21
102,Paperback,448 pages,288,3528,4.16
103,Mass Market Paperback,309 pages,2569,65707,4.22
104,Kindle Edition,199 pages,107,1443,3.98
105,Paperback,146 pages,9,142,3.89
106,Paperback,256 pages,82,924,3.66
107,Paperback,138 pages,3,14,3.79
108,Paperback,336 pages,45,311,3.66
109,Paperback,352 pages,196,1716,4.19
110,Mass Market Paperback,904 pages,1236,80837,4.4
112,Paperback,586 pages,21,690,4.2
113,Paperback,319 pages,127,1909,4.03
114,Paperback,471 pages,81,1213,3.9
115,Paperback,203 pages,41,419,3.86
116,Hardcover,1051 pages,70,1670,4.16
119,Hardcover,375 pages,380,4118,3.93
120,Paperback,292 pages,159,2874,4.15
121,Hardcover,415 pages,12602,117061,4.07
122,Hardcover,320 pages,212,2945,4.0
123,Paperback,288 pages,53,945,3.9
124,Hardcover,326 pages,580,8164,4.34
125,Paperback,1015 pages,43,1007,4.46
126,Paperback,512 pages,272,2592,4.07
128,Paperback,336 pages,483,12346,3.65
129,Paperback,80 pages,110,2910,3.79
130,Paperback,128 pages,166,1769,4.19
131,Paperback,320 pages,0,15,3.8
132,Hardcover,320 pages,280,1076,4.0
133,Paperback,475 pages,464,19036,4.23
134,Paperback,517 pages,104,1284,3.78
135,Paperback,562 pages,97,4680,4.21
136,Paperback,412 pages,6803,44129,3.82
137,Paperback,352 pages,99,998,4.24
138,Paperback,198 pages,135,10561,4.47
139,Paperback,64 pages,176,3182,3.82
140,Mass Market Paperback,384 pages,75,2508,4.2
141,Mass Market Paperback,417 pages,133,2060,4.06
142,Paperback,339 pages,18065,202863,3.9
143,Hardcover,446 pages,8606,187101,4.31
144,Kindle Edition,47 pages,6,9,4.22
145,Paperback,678 pages,113,1313,3.79
146,Paperback,218 pages,10,137,4.64
147,Mass Market Paperback,352 pages,263,4478,3.47
148,Kindle Edition,238 pages,93,222,4.21
149,Paperback,96 pages,12538,489667,3.8
150,Hardcover,400 pages,4,64,3.73
152,Paperback,372 pages,372,7646,4.17
153,Paperback,272 pages,38,1676,3.98
154,Hardcover,213 pages,11,45,4.27
156,Paperback,215 pages,23,540,4.02
157,Hardcover,424 pages,116,3894,3.96
158,Hardcover,464 pages,86,556,4.0
159,Hardcover,229 pages,8824,56000,3.92
160,Paperback,184 pages,25,170,4.03
163,Hardcover,272 pages,284,2262,4.23
164,Kindle Edition,400 pages,2087,26569,3.85
167,ebook,320 pages,4034,25982,3.48
168,Paperback,272 pages,122,1091,3.78
169,Hardcover,391 pages,2043,10924,4.35
170,Paperback,966 pages,142,4200,4.3
171,Paperback,240 pages,61,578,3.46
172,Paperback,208 pages,168,2578,4.04
173,Kindle Edition,47 pages,63,951,3.79
174,Paperback,793 pages,70,1060,3.68
175,Hardcover,128 pages,90,916,3.65
176,Hardcover,470 pages,1576,9992,3.83
178,Hardcover,320 pages,1170,6927,4.09
179,Paperback,401 pages,0,3,2.67
180,Paperback,360 pages,81,881,3.7
181,ebook,8 pages,736,8287,4.02
182,Paperback,96 pages,3,25,3.92
183,Paperback,448 pages,6800,288753,4.37
184,Paperback,192 pages,150,2929,4.54
185,Paperback,676 pages,62,1005,4.13
186,Hardcover,280 pages,24,171,3.33
187,Hardcover,309 pages,2428,35095,4.1
188,Hardcover,426 pages,442,4769,4.04
189,Paperback,213 pages,64,861,4.26
190,Paperback,304 pages,567,5129,4.35
191,Paperback,548 pages,7619,129500,4.17
192,Hardcover,352 pages,8481,70217,4.29
193,Paperback,224 pages,7,23,3.52
194,Paperback,416 pages,31,533,3.97
195,Paperback,144 pages,566,8271,3.59
196,Paperback,220 pages,92,1004,4.29
